시도명,시군구명,위치,지번주소,위도,경도,데이터기준일자
강원도,홍천군,화촌면 공설운동장 뒤쪽,강원도 홍천군 화촌면 구성포리 8-1,,,2022-07-20
강원도,홍천군,화촌면 공설운동장 뒤쪽,강원도 홍천군 화촌면 구성포리 8-1,,,2022-07-20
강원도,홍천군,물놀이관리지역,강원도 홍천군 화촌면 외삼포리 1409,,,2022-07-20
강원도,홍천군,육십계단,강원도 홍천군 화촌면 외삼포리 806-9,,,2022-07-20
강원도,홍천군,홍천엔 한옥,강원도 홍천군 화촌면 군업리 1502,,,2022-07-20
강원도,홍천군,숲속의 정원펜션,강원도 홍천군 화촌면 군업리 1663-1,,,2022-07-20
강원도,홍천군,주음치교 건너서,강원도 홍천군 화촌면 주음치리 592-12,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 두촌면 경수길 253,,,2022-07-20
강원도,홍천군,용소계곡입구,강원도 홍천군 두촌면 괘석리 671-2,,,2022-07-20
강원도,홍천군,청벽산 몰골 유원지,강원도 홍천군 내촌면 화상대리 1195,,,2022-07-20
강원도,홍천군,몰골유원지 아래,강원도 홍천군 내촌면 화상대리 산377,,,2022-07-20
강원도,홍천군,소구니쉼터,강원도 홍천군 영귀미면 동면 덕치리 411-10,,,2022-07-20
강원도,홍천군,수타사,강원도 홍천군 영귀미면 덕치리 13-4번지,,,2022-07-20
강원도,홍천군,수타사 출렁다리,강원도 홍천군 영귀미면 덕치리 산4,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 영귀미면 개운리 389-5,,,2022-07-20
강원도,홍천군,장항리 경계,강원도 홍천군 남면 남노일리 산52-2,,,2022-07-20
강원도,홍천군,남노일대교 하류,강원도 홍천군 남면 남노일리 363,,,2022-07-20
강원도,홍천군,고주암교 좌측,강원도 홍천군 남면 남노일리 207-2,,,2022-07-20
강원도,홍천군,곤드래미농원(1.2M)끝,강원도 홍천군 남면 남노일리 산159-4,,,2022-07-20
강원도,홍천군,살둔분교캠핑장-1,강원도 홍천군 내면 율전리 221-6,,,2022-07-20
강원도,홍천군,살둔분교캠핑장-2,강원도 홍천군 내면 율전리 221-6,,,2022-07-20
강원도,홍천군,새터교,강원도 홍천군 내면 광원리 888-11,,,2022-07-20
강원도,홍천군,칙소폭포,강원도 홍천군 내면 광원리 552-8,,,2022-07-20
강원도,홍천군,샘골휴게소 내,강원도 홍천군 내면 광원리 667-12,,,2022-07-20
강원도,홍천군,삼봉약수터 삼거리,강원도 홍천군 내면 광원리 669-3,,,2022-07-20
강원도,홍천군,여치울캠핑장,강원도 홍천군 내면 방내리 147,,,2022-07-20
강원도,홍천군,유별난하우스펜션,강원도 홍천군 서석면 검산길 193-11,,,2022-07-20
강원도,홍천군,자연에서온편지,강원도 홍천군 서석면 진여울길81,,,2022-07-20
강원도,홍천군,부대 휴양소 앞,강원도 홍천군 북방면 하화계리 567번지,,,2022-07-20
강원도,홍천군,하이트 뒤,강원도 홍천군 북방면 하화계리 725-21,,,2022-07-20
강원도,홍천군,하수종말처리장 앞,강원도 홍천군 북방면 소매곡리 358-1,,,2022-07-20
강원도,홍천군,상세위치 없음,강원도 홍천군 북방면 소매곡리 335,,,2022-07-20
강원도,홍천군,소매곡리 고속도로 아래,강원도 홍천군 북방면 소매곡리 산88-3,,,2022-07-20
강원도,홍천군,도사곡강변 컨테이너 앞,강원도 홍천군 북방면 도사곡리 산3-1,,,2022-07-20
강원도,홍천군,도사곡교 아래,강원도 홍천군 북방면 도사곡리 32,,,2022-07-20
강원도,홍천군,천냥바위펜션 끝,강원도 홍천군 북방면 도사곡리 27,,,2022-07-20
강원도,홍천군,굴지제1교 100m,강원도 홍천군 북방면 굴지리 96,,,2022-07-20
강원도,홍천군,강오리펜션 하천변,강원도 홍천군 북방면 굴지리 148-2,,,2022-07-20
강원도,홍천군,머므름캠핑장 앞,강원도 홍천군 북방면 굴지리 산63,,,2022-07-20
강원도,홍천군,플그리다,강원도 홍천군 북방면 장항리 350,,,2022-07-20
강원도,홍천군,큰말앞,강원도 홍천군 북방면 노일리 565-9,,,2022-07-20
강원도,홍천군,섶다리축제장 앞,강원도 홍천군 북방면 노일리 747-7,,,2022-07-20
강원도,홍천군,OG펜션,강원도 홍천군 북방면 노일리 907-4,,,2022-07-20
